"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"329",3.93994527709259e-54,0.885247788924852,0.527,0.093,9.39598149681041e-50,"0","VNN2"
"330",5.13652739958499e-54,0.687042472943703,0.347,0.018,1.22495905425303e-49,"0","PADI4"
"331",7.10941471563476e-54,0.67062277551744,0.39,0.033,1.69545322138458e-49,"0","TMEM176A"
"332",7.40059634599098e-54,0.752400679412232,0.606,0.135,1.76489421659193e-49,"0","ZDHHC7"
"333",1.05096973347061e-53,0.799362733561465,1,0.971,2.50635262038072e-49,"0","JUND"
"334",1.28017955744503e-53,0.528828665144727,0.31,0.008,3.0529722085949e-49,"0","DYSF"
"335",1.40271416474132e-53,0.958668061340292,0.794,0.25,3.34519274007511e-49,"0","YBX3"
"336",1.46116254794087e-53,0.60927590306895,0.415,0.046,3.48458044432938e-49,"0","LILRA6"
"337",1.58416445879334e-53,0.916677467241115,0.765,0.272,3.77791540133036e-49,"0","BNIP3L"
"338",2.09757064355975e-53,0.959152525868038,0.895,0.399,5.00228647076129e-49,"0","CARD16"
"339",2.82743689257115e-53,0.610656153820829,0.303,0.006,6.74287150140369e-49,"0","AQP9"
"340",3.17417018598599e-53,0.556081977787531,0.408,0.041,7.56976105953939e-49,"0","SORT1"
"341",5.04866327565063e-53,0.669416117384713,0.347,0.02,1.20400521797716e-48,"0","RN7SL368P"
"342",5.64310582612035e-53,0.687823092775465,0.653,0.154,1.34576787741318e-48,"0","MFSD1"
"343",5.87017585155454e-53,0.89574641199613,0.765,0.262,1.39991953707873e-48,"0","GLIPR2"
"344",6.88807677733921e-53,1.01522555623028,0.819,0.337,1.64266854985985e-48,"0","ATP6V0D1"
"345",7.67024234886003e-53,0.554551124157023,0.43,0.05,1.82919939535614e-48,"0","PLXND1"
"346",8.15209715289227e-53,1.02406877574437,0.653,0.151,1.94411212902175e-48,"0","MARCKS"
"347",8.3928473958593e-53,0.641259474988049,0.57,0.108,2.00152624696453e-48,"0","FAM49A"
"348",9.0790120017675e-53,0.646575976198419,0.502,0.081,2.16516278218151e-48,"0","JAK2"
"349",1.23250407792611e-52,0.910627537199957,0.939,0.452,2.93927572503818e-48,"0","MYO1F"
"350",2.34762835283351e-52,0.737647196164643,0.668,0.17,5.59862409583735e-48,"0","MYD88"
"351",3.33245585148522e-52,0.646206325530202,0.462,0.065,7.94724071462194e-48,"0","NLRP12"
"352",3.92639263299905e-52,0.60977917072928,0.523,0.083,9.36366115117614e-48,"0","SMIM25"
"353",4.59231327051069e-52,0.684586688439,0.498,0.079,1.09517486875139e-47,"0","SLC31A2"
"354",9.50686485161379e-52,1.01100215689126,0.993,0.9,2.26719712981286e-47,"0","FOSB"
"355",1.01416043741813e-51,0.525903153664945,0.415,0.046,2.41856981115475e-47,"0","NOD2"
"356",1.11216148558668e-51,0.914227461418727,0.881,0.385,2.65228271082711e-47,"0","PYCARD"
"357",1.14296070952842e-51,0.910132484200251,0.903,0.474,2.72573270008338e-47,"0","CANX"
"358",1.19756046610178e-51,0.897996506213977,0.7,0.216,2.85594219955953e-47,"0","GPCPD1"
"359",1.22091492379118e-51,0.750976699311618,0.581,0.127,2.9116379102572e-47,"0","SH2B3"
"360",2.05127476593571e-51,0.551114384576357,0.408,0.044,4.89188006180348e-47,"0","LPCAT2"
"361",2.75180949398858e-51,0.518697409436917,0.31,0.011,6.56251528126397e-47,"0","RNASE2"
"362",2.77521247370215e-51,0.633390044147733,0.523,0.084,6.61832670728488e-47,"0","CSF1R"
"363",3.58893257293219e-51,0.757319050687224,0.661,0.177,8.55888639992869e-47,"0","CMIP"
"364",4.71182452701157e-51,0.925254673289693,0.949,0.658,1.12367591320172e-46,"0","MSN"
"365",6.32584268837288e-51,0.81306725588182,0.978,0.827,1.50858696432317e-46,"0","GNAI2"
"366",7.98605016591441e-51,0.745553006408072,0.7,0.199,1.90451324356727e-46,"0","LAMP2"
"367",8.11418088321462e-51,0.881443474187952,0.801,0.309,1.93506985702902e-46,"0","RAB5IF"
"368",9.64764858457583e-51,0.660392663151128,0.989,0.977,2.30077123444964e-46,"0","AL035078.1"
"369",1.39634544783082e-50,0.909737909750524,0.697,0.205,3.33000462398695e-46,"0","NCF1C"
"370",1.61796227391437e-50,0.612223137655823,0.437,0.057,3.858516430831e-46,"0","NHSL2"
"371",2.19554522011556e-50,0.927678088313679,0.693,0.211,5.23593624093158e-46,"0","HSPA1A"
"372",2.3412307393865e-50,0.857908091020894,0.96,0.696,5.58336706728892e-46,"0","ACTR2"
